epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.853,1.28577,2.94743,1.49928,0.45977,0.50118,0.43066,0.2336,1.58057,1.90261,1.58943,0.00333088,0.00333088,0.00333088
2,463.659,1.24577,1.96574,1.45957,0.45071,0.47363,0.39993,0.20066,1.66058,2.09074,1.61004,0.00653226,0.00653226,0.00653226
3,683.643,1.26124,1.95875,1.44123,0.41341,0.46261,0.41112,0.20898,1.61133,2.02621,1.52986,0.00960164,0.00960164,0.00960164
4,900.324,1.2499,1.88303,1.41895,0.46592,0.5767,0.51769,0.27833,1.54458,1.66203,1.42547,0.009406,0.009406,0.009406
5,1116.39,1.1872,1.72315,1.38475,0.62263,0.58651,0.60987,0.3541,1.47379,1.59132,1.42751,0.009208,0.009208,0.009208
6,1336.01,1.13399,1.60239,1.34792,0.69065,0.63682,0.68141,0.40516,1.39677,1.33789,1.34975,0.00901,0.00901,0.00901
7,1553.84,1.10621,1.50792,1.33097,0.69561,0.69906,0.72844,0.44594,1.35494,1.25826,1.27472,0.008812,0.008812,0.008812
8,1769.5,1.08144,1.43656,1.31486,0.74443,0.7088,0.7498,0.47213,1.32632,1.16747,1.27409,0.008614,0.008614,0.008614
9,1984.65,1.05837,1.37913,1.29799,0.76837,0.73456,0.78256,0.47758,1.31883,1.097,1.25075,0.008416,0.008416,0.008416
10,2200.84,1.03055,1.31988,1.28338,0.75776,0.75587,0.78205,0.49622,1.28733,1.08338,1.22161,0.008218,0.008218,0.008218
11,2417.2,1.02232,1.26724,1.27451,0.75606,0.79048,0.79321,0.52016,1.2254,1.02521,1.18842,0.00802,0.00802,0.00802
12,2632.74,1.00792,1.23654,1.26628,0.82475,0.77955,0.83592,0.56925,1.14877,0.92666,1.13943,0.007822,0.007822,0.007822
13,2847.29,0.98731,1.19386,1.25172,0.78087,0.81596,0.82225,0.55585,1.1554,0.95103,1.15475,0.007624,0.007624,0.007624
14,3061.18,0.97725,1.17235,1.24593,0.80527,0.80698,0.83042,0.57084,1.11295,0.91587,1.109,0.007426,0.007426,0.007426
15,3275.09,0.9672,1.13444,1.23509,0.80338,0.80328,0.83952,0.58109,1.1024,0.89111,1.0993,0.007228,0.007228,0.007228
16,3491.52,0.95201,1.11062,1.23073,0.85419,0.81641,0.86907,0.60921,1.10086,0.82568,1.08654,0.00703,0.00703,0.00703
17,3705.06,0.94645,1.08667,1.22302,0.8484,0.81421,0.86402,0.62254,1.05879,0.80189,1.076,0.006832,0.006832,0.006832
18,3919.84,0.92965,1.05297,1.21478,0.84105,0.82536,0.8565,0.61985,1.05066,0.80645,1.06076,0.006634,0.006634,0.006634
19,4133.68,0.92462,1.04273,1.21228,0.85879,0.84529,0.86754,0.62633,1.02677,0.77554,1.06266,0.006436,0.006436,0.006436
20,4351.75,0.91523,1.0183,1.20556,0.86507,0.82694,0.88394,0.65231,1.00044,0.7468,1.04366,0.006238,0.006238,0.006238
21,4568,0.91291,1.00423,1.20287,0.8739,0.83162,0.88594,0.65808,1.00267,0.74935,1.03795,0.00604,0.00604,0.00604
22,4786.63,0.89704,0.97608,1.19603,0.85545,0.84435,0.8806,0.66219,0.98412,0.73358,1.03314,0.005842,0.005842,0.005842
23,5006.06,0.88635,0.95314,1.18958,0.87917,0.84288,0.886,0.66211,0.97059,0.72344,1.02545,0.005644,0.005644,0.005644
24,5222.97,0.88003,0.93804,1.18633,0.86534,0.86473,0.89704,0.67601,0.95457,0.67941,1.01868,0.005446,0.005446,0.005446
25,5441.81,0.86701,0.91976,1.1804,0.87715,0.85518,0.89465,0.67609,0.96478,0.67691,1.02286,0.005248,0.005248,0.005248
26,5660.52,0.86797,0.91693,1.17711,0.87684,0.85316,0.8922,0.682,0.94389,0.67799,1.00093,0.00505,0.00505,0.00505
27,5880.03,0.85108,0.89291,1.17137,0.88527,0.87208,0.90312,0.69039,0.92882,0.653,0.99871,0.004852,0.004852,0.004852
28,6097.5,0.84329,0.88002,1.16222,0.8699,0.87007,0.89211,0.68058,0.92739,0.66857,0.98793,0.004654,0.004654,0.004654
29,6315.17,0.84256,0.86839,1.16639,0.89846,0.85794,0.893,0.68743,0.92228,0.64913,0.99003,0.004456,0.004456,0.004456
30,6532.34,0.83041,0.85422,1.15914,0.9082,0.85504,0.89579,0.6931,0.92031,0.64307,0.99241,0.004258,0.004258,0.004258
31,6749.15,0.82574,0.83341,1.15341,0.90668,0.86785,0.89841,0.69788,0.89679,0.63492,0.9792,0.00406,0.00406,0.00406
32,6968.61,0.81453,0.8268,1.15626,0.90936,0.86885,0.9018,0.70065,0.89623,0.62267,0.98555,0.003862,0.003862,0.003862
33,7188.73,0.81221,0.81155,1.15289,0.902,0.87972,0.90163,0.70225,0.88555,0.61364,0.97872,0.003664,0.003664,0.003664
34,7407.64,0.80342,0.79548,1.14262,0.91289,0.87301,0.90427,0.70482,0.88012,0.60361,0.97219,0.003466,0.003466,0.003466
35,7625.16,0.79331,0.78356,1.13891,0.91209,0.87706,0.90675,0.71307,0.87221,0.59817,0.97044,0.003268,0.003268,0.003268
36,7841.89,0.79154,0.7819,1.13967,0.91945,0.87274,0.90639,0.71566,0.87484,0.59898,0.97325,0.00307,0.00307,0.00307
37,8055.94,0.78711,0.76928,1.13649,0.91993,0.87088,0.90705,0.71784,0.86757,0.5923,0.97105,0.002872,0.002872,0.002872
38,8272.28,0.78021,0.75822,1.13201,0.91405,0.88001,0.90851,0.71976,0.86204,0.59075,0.96654,0.002674,0.002674,0.002674
39,8487.07,0.7708,0.7434,1.12956,0.91379,0.87738,0.9081,0.72191,0.85944,0.58652,0.96501,0.002476,0.002476,0.002476
40,8708.67,0.76449,0.73243,1.12477,0.90825,0.88547,0.90816,0.72204,0.86468,0.58557,0.96766,0.002278,0.002278,0.002278
41,8928.92,0.71787,0.52107,1.11478,0.9279,0.8664,0.91007,0.7231,0.8577,0.58108,0.96606,0.00208,0.00208,0.00208
42,9147.17,0.69261,0.48462,1.09555,0.90194,0.89499,0.90978,0.72663,0.85057,0.57677,0.9625,0.001882,0.001882,0.001882
43,9364,0.67844,0.47011,1.08705,0.92699,0.87374,0.91016,0.7298,0.84453,0.57169,0.96029,0.001684,0.001684,0.001684
44,9580.95,0.66316,0.45267,1.07723,0.92025,0.88099,0.9112,0.73352,0.84148,0.56991,0.95757,0.001486,0.001486,0.001486
45,9795.99,0.65364,0.43575,1.0702,0.9197,0.88364,0.91273,0.73678,0.8372,0.56511,0.95546,0.001288,0.001288,0.001288
46,10010.8,0.63743,0.42738,1.05855,0.91153,0.89174,0.91355,0.73942,0.8325,0.56259,0.95276,0.00109,0.00109,0.00109
47,10227,0.63179,0.41644,1.05761,0.9111,0.89234,0.91432,0.74085,0.8287,0.55905,0.95105,0.000892,0.000892,0.000892
48,10438.1,0.6147,0.40371,1.05139,0.91676,0.88786,0.91441,0.74118,0.82694,0.55449,0.95051,0.000694,0.000694,0.000694
49,10651.1,0.6095,0.3963,1.04965,0.91731,0.88943,0.91454,0.74043,0.82409,0.55135,0.94935,0.000496,0.000496,0.000496
50,10868.4,0.59857,0.39102,1.04225,0.92116,0.8873,0.9148,0.7424,0.82127,0.54837,0.94772,0.000298,0.000298,0.000298
